I (78760) ENCODER_READER: Peak: -552, Time: 15 ms
I (79460) ENCODER_READER: Peak: 921, Time: 16 ms
I (80060) ENCODER_READER: Peak: -524, Time: 10 ms
I (80760) ENCODER_READER: Peak: 905, Time: 13 ms
I (81360) ENCODER_READER: Peak: -498, Time: 16 ms
I (81960) ENCODER_READER: Peak: 884, Time: 17 ms
I (82660) ENCODER_READER: Peak: -476, Time: 11 ms
I (83260) ENCODER_READER: Peak: 857, Time: 9 ms
I (83860) ENCODER_READER: Peak: -466, Time: 15 ms
I (84460) ENCODER_READER: Peak: 837, Time: 14 ms
I (85060) ENCODER_READER: Peak: -453, Time: 18 ms
I (85660) ENCODER_READER: Peak: 816, Time: 14 ms
I (86260) ENCODER_READER: Peak: -429, Time: 5 ms
I (86860) ENCODER_READER: Peak: 828, Time: 19 ms
I (87460) ENCODER_READER: Peak: -385, Time: 11 ms
I (88060) ENCODER_READER: Peak: 875, Time: 14 ms
I (88660) ENCODER_READER: Peak: -343, Time: 16 ms
I (89160) ENCODER_READER: Peak: 968, Time: 17 ms
I (89760) ENCODER_READER: Peak: -304, Time: 11 ms
I (90360) ENCODER_READER: Peak: 1048, Time: 3 ms
I (90960) ENCODER_READER: Peak: -266, Time: 19 ms
I (91460) ENCODER_READER: Peak: 1020, Time: 13 ms
I (92060) ENCODER_READER: Peak: -231, Time: 11 ms
I (92660) ENCODER_READER: Peak: 986, Time: 11 ms
I (93160) ENCODER_READER: Peak: -197, Time: 5 ms
I (93760) ENCODER_READER: Peak: 953, Time: 11 ms
I (94260) ENCODER_READER: Peak: -164, Time: 6 ms
I (94860) ENCODER_READER: Peak: 921, Time: 12 ms
I (95460) ENCODER_READER: Peak: -132, Time: 19 ms
I (95960) ENCODER_READER: Peak: 889, Time: 23 ms
I (96560) ENCODER_READER: Peak: -101, Time: 22 ms
I (97060) ENCODER_READER: Peak: 858, Time: 23 ms
I (97660) ENCODER_READER: Peak: -71, Time: 23 ms
I (98160) ENCODER_READER: Peak: 828, Time: 21 ms
I (98760) ENCODER_READER: Peak: -43, Time: 3 ms
I (99260) ENCODER_READER: Peak: 799, Time: 12 ms
I (99860) ENCODER_READER: Peak: -14, Time: 0 ms
I (100360) ENCODER_READER: Peak: 770, Time: 16 ms
I (100960) ENCODER_READER: Peak: 8, Time: 22 ms
I (101460) ENCODER_READER: Peak: 741, Time: 27 ms
I (102060) ENCODER_READER: Peak: 35, Time: 24 ms
I (102560) ENCODER_READER: Peak: 713, Time: 27 ms
I (103060) ENCODER_READER: Peak: 61, Time: 9 ms
I (103660) ENCODER_READER: Peak: 686, Time: 13 ms
I (104160) ENCODER_READER: Peak: 88, Time: 19 ms
I (104760) ENCODER_READER: Peak: 658, Time: 31 ms
I (105260) ENCODER_READER: Peak: 114, Time: 17 ms
I (105760) ENCODER_READER: Peak: 632, Time: 22 ms
I (106360) ENCODER_READER: Peak: 140, Time: 20 ms
I (106860) ENCODER_READER: Peak: 605, Time: 27 ms
I (107460) ENCODER_READER: Peak: 166, Time: 19 ms
I (107960) ENCODER_READER: Peak: 579, Time: 20 ms
I (108460) ENCODER_READER: Peak: 192, Time: 31 ms
I (109060) ENCODER_READER: Peak: 554, Time: 19 ms
I (109560) ENCODER_READER: Peak: 217, Time: 34 ms
I (110060) ENCODER_READER: Peak: 529, Time: 34 ms
I (110660) ENCODER_READER: Peak: 241, Time: 16 ms
I (111160) ENCODER_READER: Peak: 505, Time: 18 ms
I (111660) ENCODER_READER: Peak: 266, Time: 30 ms
I (112260) ENCODER_READER: Peak: 480, Time: 43 ms
I (112760) ENCODER_READER: Peak: 290, Time: 11 ms
I (113260) ENCODER_READER: Peak: 456, Time: 44 ms
I (113860) ENCODER_READER: Peak: 315, Time: 46 ms
I (114360) ENCODER_READER: Peak: 432, Time: 67 ms
I (114860) ENCODER_READER: Peak: 339, Time: 61 ms
I (115460) ENCODER_READER: Peak: 409, Time: 65 ms
I (115960) ENCODER_READER: Peak: 362, Time: 52 ms
I (116460) ENCODER_READER: Peak: 387, Time: 85 ms
